S.No,Question
1,"You were reducing manual effort. Can you talk to me a little bit more about that? I'm curious: what did you do to automate it and increase efficiency by so much, because you have reduced manual effort?"
2,"Transformations done?"
3,"When you were dealing with data, because that's one of the main things as a data engineer you are tasked with. I don't want to know about the data that you got, but did you get them as files? Did you get them as tables? Excel images? What did you get?"
4,"How did you handle nulls?"
5,"Good to know. Did you do any kind of validation? How did you do that validation?"
6,"I know you talked a little bit about stored procedures, and in your resume you have that, so it shows that you have some good SQL skills. What did you do with those stored procedures? What did you create?"
7,"That's good to know, thank you. All right, and then talk to me a little bit more about the CI/CD pipelines that you implemented. What did you use? What tool did you use for your CI/CD?"
8,"Databricks we have deployed in Azure Repos. How?"
9,"You've talked about how you troubleshooted some critical data pipeline issues. What were your issues, and how did you troubleshoot them in ADF?"
10,"What other failures have you faced in ADF?"
11,"Let's say I have a string like this: 'A quick brown fox jumped over the lazy don'. Find the vowels. Think of an approach."
12,"Have you worked with Unity Catalog tables?"
13,"I have an Excel file with 3 fields: bank_account_id, balance, name. Example: 12345,$123.46,John and 235468,NotAvailable,Jane Doe. I read it in Databricks using the Excel connector with inferSchema=true, join it with other data sources, and write the output to Delta. If I started with 100 rows but only get 90 rows in the destination, what could be the reason?"
14,"What would you do to resolve that issue?"
